Reg-ID,State,Number,Year,Title,Description,Regulation Type,Current Status,History,StateNet History,Last Action Date,Introduction Date,Comment Period End,Adopted Date,Emergency Adopted Date,Effective Date,Expiration Date,Intent (access),Specific Policies Record Link,Categories (from Specific Policies Record Link),Subcategories (from Specific Policies Record Link),Headers (from Specific Policies Record Link),Specific Policies (from Specific Policies Record Link),Positive/Neutral/Restrictive (from Specific Policies Record Link),Category Intent (from Specific Policies Record Link),Specific Policies (access),Policy Categories (Access),Issuing Agency Link,Agency Type (from Issuing Agency Link),Priority Level (from Issuing Agency Link),Parent Agency (from Issuing Agency Link),State Reg ID,Citation,Contact,StateNet Link,Related Bills,Supersedes,Superseded By,Legal Status,Review Status,Website Blurb,Internal Notes,StateNet Regulations Import,Import Date,Last Updated,Last Updated By,Newly Tracked,Change in Status,Last Status Date Text
CO-REG-18918-2025,CO,18918,2025,Chapter 13 Freestanding Emergency Departments,Implements rules concerning the protection of a pregnant person's rights during the perinatal period.,Standard Rulemaking,Adopted,,06/18/2025 - Rule Adoption - Code of Colorado Regulations eDocket 06/23/2025; 06/18/2025 - Effective Date Established - Code of Colorado Regulations eDocket 07/10/2025,2025-06-18,2025-04-24,,2025-06-18,,2025-08-14,,,,,,,,,,Misc,Pregnancy,Department of Public Health and Environment/Health Facilities and Emergency Medical Services Division,,,,,6 CCR 1011-1 Chapter 13,"Alexandra Haas, Policy Supervisor, Health Facilities and Medical Services Division, 303-691-4934, alexandra.haas@state.co.us",http://custom.statenet.com/public/resources.cgi?id=ID:reg:CO202518918&cuiq=4aa65820-f27e-5f2a-8693-0b980d13c610&client_md=1d5569b6-2229-5514-a54d-7f5dde5c9a90,,,,In Effect,Needs Review,,,,,,,checked,checked,06/18/2025 - Rule Adoption - Code of Colorado Regulations eDocket 06/23/2025; 06/18/2025 - Effective Date Established - Code of Colorado Regulations eDocket 07/10/2025
CO-REG-18919-2025,CO,18919,2025,Chapter 22 Birth Centers,Implements rules concerning the protection of a pregnant person's rights during the perinatal period.,Standard Rulemaking,Adopted,,06/18/2025 - Rule Adoption - Code of Colorado Regulations eDocket 06/23/2025; 06/18/2025 - Effective Date Established - Code of Colorado Regulations eDocket 07/10/2025,2025-06-18,2025-04-24,,2025-06-18,,2025-08-14,,,,,,,,,,Misc,Pregnancy,Department of Public Health and Environment/Health Facilities and Emergency Medical Services Division,,,,,6 CCR 1011-1 Chapter 22,"Alexandra Haas, Policy Supervisor, Health Facilities and Medical Services Division, 303-691-4934, alexandra.haas@state.co.us",http://custom.statenet.com/public/resources.cgi?id=ID:reg:CO202518919&cuiq=4aa65820-f27e-5f2a-8693-0b980d13c610&client_md=1d5569b6-2229-5514-a54d-7f5dde5c9a90,,,,In Effect,Needs Review,,,,,,,checked,checked,06/18/2025 - Rule Adoption - Code of Colorado Regulations eDocket 06/23/2025; 06/18/2025 - Effective Date Established - Code of Colorado Regulations eDocket 07/10/2025
DE-REG-4920-2024,DE,4920,2024,Medical Licensure and Discipline,"This rulemaking will authorize a physician assistant, with a collaborative agreement with an appropriately-trained physician, to terminate, assist in the termination of, or attempt the termination of a human pregnancy before viability.",Standard Rulemaking,Under Review,,"04/01/2025 - Final Regulation - Vol. 28, Issue 10, Delaware Register of Regulations 04/01/2025 pp.741-743",2025-04-01,2024-08-01,,2025-01-07,,,,,,,,,,,,"ScopeofPractice, ScopeOfPractice","Abortion, Providers",Department of State/Division of Professional Regulation/Board of Medical Licensure and Discipline,,,,28 DE REG 741,24 DAC 1700,"Alison Warren, Executive Director, Department of State, Division of Professional Regulation, Board of Medical Licensure and Discipline, Cannon Bldg, Ste 203, 861 Silver Lake Blvd, Dover, DE 19904",http://custom.statenet.com/public/resources.cgi?id=ID:reg:DE20244920&cuiq=4aa65820-f27e-5f2a-8693-0b980d13c610&client_md=1d5569b6-2229-5514-a54d-7f5dde5c9a90,,,,Under Review,Needs Review,,,,,,,,checked,"04/01/2025 - Final Regulation - Vol. 28, Issue 10, Delaware Register of Regulations 04/01/2025 pp.741-743"
HI-REG-1920-2024,HI,1920,2024,Financial Assistance Standards,"Implements and compiles rules concerning financial assistance standards for individuals in independent living arrangements, residential treatment facilities, or domiciliary care homes.",Standard Rulemaking,Adopted,,01/16/2025 - Adopted Rule Filing - Lt. Governors Office 03/26/2025; 01/16/2025 - Rule Adoption - Lt. Governors Office 03/26/2025,2025-01-16,2024-08-15,,2025-01-16,,2025-01-26,,,,,,,,,,Misc,Pregnancy,"Department of Human Services/Benefit, Employment and Support Services Division",,,,,HAR 17-678,"Dept of Human Services, Benefit, Employment and Support Services Div, Temporary Assistance for Needy Families Program Office, Attn Catherine Scardino, Rm 512, 1010 Richards St, Honolulu, HI 96813",http://custom.statenet.com/public/resources.cgi?id=ID:reg:HI20241920&cuiq=4aa65820-f27e-5f2a-8693-0b980d13c610&client_md=1d5569b6-2229-5514-a54d-7f5dde5c9a90,,,,In Effect,Needs Review,,,,,,,,checked,01/16/2025 - Adopted Rule Filing - Lt. Governors Office 03/26/2025; 01/16/2025 - Rule Adoption - Lt. Governors Office 03/26/2025
IA-REG-12390-2024,IA,12390,2024,Family Planning Services,"Ensures that there was a successful process outlined on how to fund eligible applicants for the Department of Public Healths Title X Family Planning Program, including the grant application process.",Guidance/Bulletin,Adopted,,"04/04/2025 - Adopted Rule Notice - Vol. XLVII, No. 22, Iowa Administrative Bulletin 04/30/2025 pp.11067-11068; 04/04/2025 - Adopted and Filed - Vol. XLVII, No. 22, Iowa Administrative Bulletin 04/30/2025",2025-04-04,2024-12-11,,2025-04-04,,2025-07-01,,,,,,,,,,Funding,Family Planning,Department of Public Health,,,,ARC 9169,IAC 641-Chapter 74,"Victoria Daniels, Dept of Health and Human Services, Lucas State Office Bldg, 321 East 12th St, Des Moines, IA 50319, 515.829.6021, compliancerules@hhs.iowa.gov",http://custom.statenet.com/public/resources.cgi?id=ID:reg:IA202412390&cuiq=4aa65820-f27e-5f2a-8693-0b980d13c610&client_md=1d5569b6-2229-5514-a54d-7f5dde5c9a90,,,,In Effect,Needs Review,,,,,,,,checked,"04/04/2025 - Adopted Rule Notice - Vol. XLVII, No. 22, Iowa Administrative Bulletin 04/30/2025 pp.11067-11068; 04/04/2025 - Adopted and Filed - Vol. XLVII, No. 22, Iowa Administrative Bulletin 04/30/2025"
IA-REG-12391-2024,IA,12391,2024,Family Planning Services Funding Prioritization,"Implements, in whole or in part, 2019 Iowa Acts, Chapter 85, Section 98, 2023 Iowa Acts, Chapter 19, Section 346, and Title X of the Public Health Service Act, 42 U.S.C. 300.",Guidance/Bulletin,Adopted,,"04/04/2025 - Adopted Rule Notice - Vol. XLVII, No. 22, Iowa Administrative Bulletin 04/30/2025 pp.11069-11071; 04/04/2025 - Adopted and Filed - Vol. XLVII, No. 22, Iowa Administrative Bulletin 04/30/2025",2025-04-04,2024-12-11,,2025-04-04,,2025-07-01,,,,,,,,,,FundRestriction,Family Planning,Department of Public Health,,,,ARC 9170,"IAC 641-75.1, .2, .3","Victoria Daniels, Dept of Health and Human Services, Lucas State Office Bldg, 321 East 12th St, Des Moines, IA 50319, 515.829.6021, compliancerules@hhs.iowa.gov",http://custom.statenet.com/public/resources.cgi?id=ID:reg:IA202412391&cuiq=4aa65820-f27e-5f2a-8693-0b980d13c610&client_md=1d5569b6-2229-5514-a54d-7f5dde5c9a90,,,,In Effect,Needs Review,,,,,,,,checked,"04/04/2025 - Adopted Rule Notice - Vol. XLVII, No. 22, Iowa Administrative Bulletin 04/30/2025 pp.11069-11071; 04/04/2025 - Adopted and Filed - Vol. XLVII, No. 22, Iowa Administrative Bulletin 04/30/2025"
IA-REG-12392-2024,IA,12392,2024,Maternal and Child Health Program,Outlines the eligibility criteria and application procedures for maternal and child health programs.,Guidance/Bulletin,Adopted,,"04/04/2025 - Adopted Rule Notice - Vol. XLVII, No. 22, Iowa Administrative Bulletin 04/30/2025 pp.11071-11074; 04/04/2025 - Adopted and Filed - Vol. XLVII, No. 22, Iowa Administrative Bulletin 04/30/2025",2025-04-04,2024-12-11,,2025-04-04,,2025-07-01,,,,,,,,,,Misc,Pregnancy,Department of Public Health,,,,ARC 9171,"IAC 641-76.1, .2, .3","Victoria Daniels, Dept of Health and Human Services, Lucas State Office Bldg, 321 East 12th St, Des Moines, IA 50319, 515.829.6021, compliancerules@hhs.iowa.gov",http://custom.statenet.com/public/resources.cgi?id=ID:reg:IA202412392&cuiq=4aa65820-f27e-5f2a-8693-0b980d13c610&client_md=1d5569b6-2229-5514-a54d-7f5dde5c9a90,,,,In Effect,Needs Review,,,,,,,,checked,"04/04/2025 - Adopted Rule Notice - Vol. XLVII, No. 22, Iowa Administrative Bulletin 04/30/2025 pp.11071-11074; 04/04/2025 - Adopted and Filed - Vol. XLVII, No. 22, Iowa Administrative Bulletin 04/30/2025"
IA-REG-12393-2024,IA,12393,2024,Personal Responsibility Education Program,Sets forth guidelines and limitations for the use of funds from the Personal Responsibility Education Program and the Title V State Sexual Risk Avoidance Education Grant Program.,Guidance/Bulletin,Adopted,,"04/04/2025 - Adopted Rule Notice - Vol. XLVII, No. 22, Iowa Administrative Bulletin 04/30/2025 pp.11074-11075; 04/04/2025 - Adopted and Filed - Vol. XLVII, No. 22, Iowa Administrative Bulletin 04/30/2025",2025-04-04,2024-12-11,,2025-04-04,,2025-07-01,,,,,,,,,,SexEducation,Minors,Department of Public Health,,,,ARC 9172,IAC 641-Chapter 78,"Victoria Daniels, Dept of Health and Human Services, Lucas State Office Bldg, 321 East 12th St, Des Moines, IA 50319, 515.829.6021, compliancerules@hhs.iowa.gov",http://custom.statenet.com/public/resources.cgi?id=ID:reg:IA202412393&cuiq=4aa65820-f27e-5f2a-8693-0b980d13c610&client_md=1d5569b6-2229-5514-a54d-7f5dde5c9a90,,,,In Effect,Needs Review,,,,,,,,checked,"04/04/2025 - Adopted Rule Notice - Vol. XLVII, No. 22, Iowa Administrative Bulletin 04/30/2025 pp.11074-11075; 04/04/2025 - Adopted and Filed - Vol. XLVII, No. 22, Iowa Administrative Bulletin 04/30/2025"
IA-REG-12395-2024,IA,12395,2024,Decision-Making Assistance Program,Provides the procedures and documentation necessary for the notification of a parent or grandparent of a pregnant minor prior to the termination of the pregnancy through abortion.,Guidance/Bulletin,Adopted,,"04/04/2025 - Adopted Rule Notice - Vol. XLVII, No. 22, Iowa Administrative Bulletin 04/30/2025 pp.11077-11079; 04/04/2025 - Adopted and Filed - Vol. XLVII, No. 22, Iowa Administrative Bulletin 04/30/2025",2025-04-04,2024-12-11,,2025-04-04,,2025-07-01,,,,,,,,,,Misc,Abortion,Department of Public Health,,,,ARC 9174,"IAC 641-89.1, .2, .3","Victoria Daniels, Dept of Health and Human Services, Lucas State Office Bldg, 321 East 12th St, Des Moines, IA 50319, 515.829.6021, compliancerules@hhs.iowa.gov",http://custom.statenet.com/public/resources.cgi?id=ID:reg:IA202412395&cuiq=4aa65820-f27e-5f2a-8693-0b980d13c610&client_md=1d5569b6-2229-5514-a54d-7f5dde5c9a90,,,,In Effect,Needs Review,,,,,,,,checked,"04/04/2025 - Adopted Rule Notice - Vol. XLVII, No. 22, Iowa Administrative Bulletin 04/30/2025 pp.11077-11079; 04/04/2025 - Adopted and Filed - Vol. XLVII, No. 22, Iowa Administrative Bulletin 04/30/2025"
IA-REG-12404-2024,IA,12404,2024,Regionalized System of Perinatal Health Care,Allows health care providers to rapidly access specialty services for at-risk pregnant women and newborns.,Guidance/Bulletin,Adopted,,"04/04/2025 - Adopted Rule Notice - Vol. XLVII, No. 22, Iowa Administrative Bulletin 04/30/2025 pp.11083-11098; 04/04/2025 - Adopted and Filed - Vol. XLVII, No. 22, Iowa Administrative Bulletin 04/30/2025",2025-04-04,2024-12-11,,2025-04-04,,2025-07-01,,,,,,,,,,U/SFetalHeartbeat,Abortion,Department of Public Health,,,,ARC 9178,IAC 641-150.1 thru .11,"Victoria Daniels, Dept of Health and Human Services, Lucas State Office Bldg, 321 East 12th St, Des Moines, IA 50319, 515.829.6021, compliancerules@hhs.iowa.gov",http://custom.statenet.com/public/resources.cgi?id=ID:reg:IA202412404&cuiq=4aa65820-f27e-5f2a-8693-0b980d13c610&client_md=1d5569b6-2229-5514-a54d-7f5dde5c9a90,,,,In Effect,Needs Review,,,,,,,,checked,"04/04/2025 - Adopted Rule Notice - Vol. XLVII, No. 22, Iowa Administrative Bulletin 04/30/2025 pp.11083-11098; 04/04/2025 - Adopted and Filed - Vol. XLVII, No. 22, Iowa Administrative Bulletin 04/30/2025"
IA-REG-12441-2024,IA,12441,2024,PROMISE JOBS Program,Provides rules to implement the PROMISE JOBS Program as required by federal law for Iowa to receive Temporary Assistance for Needy Families (TANF) dollars.,Guidance/Bulletin,Adopted,,"04/25/2025 - Adopted Rule Notice - Vol. XLVII, No. 23, Iowa Administrative Bulletin 05/14/2025 pp.11668-11702; 04/25/2025 - Adopted and Filed - Vol. XLVII, No. 23, Iowa Administrative Bulletin 05/14/2025",2025-04-25,2024-12-25,,2025-04-25,,2025-07-01,,,,,,,,,,Misc,Family Planning,Department of Human Services,,,,ARC 9281,IAC 441-93.1 thru .17,"Victoria L. Daniels, Dept of Health and Human Services, Lucas State Office Bldg, 321 East 12th St, Des Moines, IA 50319, 515.829.6021, victoria.daniels@hhs.iowa.gov",http://custom.statenet.com/public/resources.cgi?id=ID:reg:IA202412441&cuiq=4aa65820-f27e-5f2a-8693-0b980d13c610&client_md=1d5569b6-2229-5514-a54d-7f5dde5c9a90,,,,In Effect,Needs Review,,,,,,,checked,checked,"04/25/2025 - Adopted Rule Notice - Vol. XLVII, No. 23, Iowa Administrative Bulletin 05/14/2025 pp.11668-11702; 04/25/2025 - Adopted and Filed - Vol. XLVII, No. 23, Iowa Administrative Bulletin 05/14/2025"
IA-REG-12464-2024,IA,12464,2024,Standards of Practice and Principles of Medical Ethics,"Provides definitions relevant to the practice of medicine and guidelines on office practices, including the requirements for recordkeeping, physician behavior, and patient-physician relationships.",Guidance/Bulletin,Adopted,,"03/27/2025 - Adopted Rule Notice - Vol. XLVII, No. 21, Iowa Administrative Bulletin 04/16/2025 pp.10658-10680; 03/27/2025 - Adopted and Filed - Vol. XLVII, No. 21, Iowa Administrative Bulletin 04/16/2025",2025-03-27,2024-12-25,,2025-03-27,,2025-05-21,,,,,,,,,,MedicationAbortion,Abortion,Department of Public Health/Medicine Board,,,,ARC 9115,IAC 653-13.1  thru .17,"Emily DeRonde, Dept of Inspections, Appeals, and Licensing, 6200 Park Ave, Des Moines, IA 50321, emily.deronde@dia.iowa.gov",http://custom.statenet.com/public/resources.cgi?id=ID:reg:IA202412464&cuiq=4aa65820-f27e-5f2a-8693-0b980d13c610&client_md=1d5569b6-2229-5514-a54d-7f5dde5c9a90,,,,In Effect,Needs Review,,,,,,,checked,checked,"03/27/2025 - Adopted Rule Notice - Vol. XLVII, No. 21, Iowa Administrative Bulletin 04/16/2025 pp.10658-10680; 03/27/2025 - Adopted and Filed - Vol. XLVII, No. 21, Iowa Administrative Bulletin 04/16/2025"
IA-REG-12472-2024,IA,12472,2024,Maternal Deaths,"Allows for the procurement and timely confidential review of maternal death and birth records, which inform death prevention recommendations and efforts.",Guidance/Bulletin,Adopted,,"01/31/2025 - Adopted Rule Notice - Vol. XLVII, No. 17, Iowa Administrative Bulletin 02/19/2025 pp.9268-9269; 01/31/2025 - Adopted and Filed - Vol. XLVII, No. 17, Iowa Administrative Bulletin 02/19/2025",2025-01-31,2024-12-25,,2025-01-31,,2025-04-01,,,,,,,,,,MaternalMortality,Pregnancy,Department of Public Health,,,,ARC 8970,IAC 641-Chapter 5,"Joe Campos, Dept of Health and Human Services, 321 East 12th St, Des Moines, IA 50309, compliancerules@hhs.iowa.gov",http://custom.statenet.com/public/resources.cgi?id=ID:reg:IA202412472&cuiq=4aa65820-f27e-5f2a-8693-0b980d13c610&client_md=1d5569b6-2229-5514-a54d-7f5dde5c9a90,,,,In Effect,Needs Review,,,,,,,checked,checked,"01/31/2025 - Adopted Rule Notice - Vol. XLVII, No. 17, Iowa Administrative Bulletin 02/19/2025 pp.9268-9269; 01/31/2025 - Adopted and Filed - Vol. XLVII, No. 17, Iowa Administrative Bulletin 02/19/2025"
