Measure Type,Jurisdiction,Bill Type,Number,Special Session,Year,Document Type,Locality Name,Locality Type,State ID,Title,Fiscal Committee,Urgency Clause,Summary,Links,Associated Measures,Author/Source,CoAuthors,Code,Prefile Date,Intro Date,Last Amend Date,Gov Action,Qualification Date,Ballot Status,Election,Emergency Adopted Date,Adopted Date,Progress,Current Disposition,Effective Date,Chapter Number,Location,Hearing Date,Document,Contact,Citation,Last Status Date,Text Hits,Private File Name,Suppressed,Abortion,AbortionBans,FamilyPlanning,Insurance,Minors,Pregnancy,Providers,Newly Tracked,Change in Status
REGULATION,CO,,18918,,2025,,,,,Chapter 13 Freestanding Emergency Departments,,,Implements rules concerning the protection of a pregnant person's rights during the perinatal period.,http://custom.statenet.com/public/resources.cgi?id=ID:reg:CO202518918&cuiq=4aa65820-f27e-5f2a-8693-0b980d13c610&client_md=1d5569b6-2229-5514-a54d-7f5dde5c9a90,,Department of Public Health and Environment/Health Facilities and Emergency Medical Services Division,,,,2025-04-24,,,,,,,2025-06-18,,,08/14/2025,,,,,"Alexandra Haas, Policy Supervisor, Health Facilities and Medical Services Division, 303-691-4934, alexandra.haas@state.co.us",6 CCR 1011-1 Chapter 13,06/18/2025 - Rule Adoption - Code of Colorado Regulations eDocket 06/23/2025; 06/18/2025 - Effective Date Established - Code of Colorado Regulations eDocket 07/10/2025,0,Master,No,,,,,,Misc,,yes,yes
REGULATION,CO,,18919,,2025,,,,,Chapter 22 Birth Centers,,,Implements rules concerning the protection of a pregnant person's rights during the perinatal period.,http://custom.statenet.com/public/resources.cgi?id=ID:reg:CO202518919&cuiq=4aa65820-f27e-5f2a-8693-0b980d13c610&client_md=1d5569b6-2229-5514-a54d-7f5dde5c9a90,,Department of Public Health and Environment/Health Facilities and Emergency Medical Services Division,,,,2025-04-24,,,,,,,2025-06-18,,,08/14/2025,,,,,"Alexandra Haas, Policy Supervisor, Health Facilities and Medical Services Division, 303-691-4934, alexandra.haas@state.co.us",6 CCR 1011-1 Chapter 22,06/18/2025 - Rule Adoption - Code of Colorado Regulations eDocket 06/23/2025; 06/18/2025 - Effective Date Established - Code of Colorado Regulations eDocket 07/10/2025,0,Master,No,,,,,,Misc,,yes,yes
REGULATION,DE,,4920,,2024,,,,28 DE REG 741,Medical Licensure and Discipline,,,"This rulemaking will authorize a physician assistant, with a collaborative agreement with an appropriately-trained physician, to terminate, assist in the termination of, or attempt the termination of a human pregnancy before viability.",http://custom.statenet.com/public/resources.cgi?id=ID:reg:DE20244920&cuiq=4aa65820-f27e-5f2a-8693-0b980d13c610&client_md=1d5569b6-2229-5514-a54d-7f5dde5c9a90,,Department of State/Division of Professional Regulation/Board of Medical Licensure and Discipline,,,,2024-08-01,,,,,,,2025-01-07,,,02/11/2025;04/11/2025,,,,,"Alison Warren, Executive Director, Department of State, Division of Professional Regulation, Board of Medical Licensure and Discipline, Cannon Bldg, Ste 203, 861 Silver Lake Blvd, Dover, DE 19904",24 DAC 1700,"04/01/2025 - Final Regulation - Vol. 28, Issue 10, Delaware Register of Regulations 04/01/2025 pp.741-743",0,Master,No,ScopeofPractice,,,,,,ScopeOfPractice,no,yes
REGULATION,HI,,1920,,2024,,,,,Financial Assistance Standards,,,"Implements and compiles rules concerning financial assistance standards for individuals in independent living arrangements, residential treatment facilities, or domiciliary care homes.",http://custom.statenet.com/public/resources.cgi?id=ID:reg:HI20241920&cuiq=4aa65820-f27e-5f2a-8693-0b980d13c610&client_md=1d5569b6-2229-5514-a54d-7f5dde5c9a90,,"Department of Human Services/Benefit, Employment and Support Services Division",,,,2024-08-15,,,,,,,2025-01-16,,,01/26/2025,,,,,"Dept of Human Services, Benefit, Employment and Support Services Div, Temporary Assistance for Needy Families Program Office, Attn Catherine Scardino, Rm 512, 1010 Richards St, Honolulu, HI 96813",HAR 17-678,01/16/2025 - Adopted Rule Filing - Lt. Governors Office 03/26/2025; 01/16/2025 - Rule Adoption - Lt. Governors Office 03/26/2025,0,Master,No,,,,,,Misc,,no,yes
REGULATION,IA,,12390,,2024,,,,ARC 9169,Family Planning Services,,,"Ensures that there was a successful process outlined on how to fund eligible applicants for the Department of Public Healths Title X Family Planning Program, including the grant application process.",http://custom.statenet.com/public/resources.cgi?id=ID:reg:IA202412390&cuiq=4aa65820-f27e-5f2a-8693-0b980d13c610&client_md=1d5569b6-2229-5514-a54d-7f5dde5c9a90,,Department of Public Health,,,,2024-12-11,,,,,,,2025-04-04,,,07/01/2025,,,,,"Victoria Daniels, Dept of Health and Human Services, Lucas State Office Bldg, 321 East 12th St, Des Moines, IA 50319, 515.829.6021, compliancerules@hhs.iowa.gov",IAC 641-Chapter 74,"04/04/2025 - Adopted Rule Notice - Vol. XLVII, No. 22, Iowa Administrative Bulletin 04/30/2025 pp.11067-11068; 04/04/2025 - Adopted and Filed - Vol. XLVII, No. 22, Iowa Administrative Bulletin 04/30/2025",0,Master,No,,,Funding,,,,,no,yes
REGULATION,IA,,12391,,2024,,,,ARC 9170,Family Planning Services Funding Prioritization,,,"Implements, in whole or in part, 2019 Iowa Acts, Chapter 85, Section 98, 2023 Iowa Acts, Chapter 19, Section 346, and Title X of the Public Health Service Act, 42 U.S.C. 300.",http://custom.statenet.com/public/resources.cgi?id=ID:reg:IA202412391&cuiq=4aa65820-f27e-5f2a-8693-0b980d13c610&client_md=1d5569b6-2229-5514-a54d-7f5dde5c9a90,,Department of Public Health,,,,2024-12-11,,,,,,,2025-04-04,,,07/01/2025,,,,,"Victoria Daniels, Dept of Health and Human Services, Lucas State Office Bldg, 321 East 12th St, Des Moines, IA 50319, 515.829.6021, compliancerules@hhs.iowa.gov","IAC 641-75.1, .2, .3","04/04/2025 - Adopted Rule Notice - Vol. XLVII, No. 22, Iowa Administrative Bulletin 04/30/2025 pp.11069-11071; 04/04/2025 - Adopted and Filed - Vol. XLVII, No. 22, Iowa Administrative Bulletin 04/30/2025",0,Master,No,,,FundRestriction,,,,,no,yes
REGULATION,IA,,12392,,2024,,,,ARC 9171,Maternal and Child Health Program,,,Outlines the eligibility criteria and application procedures for maternal and child health programs.,http://custom.statenet.com/public/resources.cgi?id=ID:reg:IA202412392&cuiq=4aa65820-f27e-5f2a-8693-0b980d13c610&client_md=1d5569b6-2229-5514-a54d-7f5dde5c9a90,,Department of Public Health,,,,2024-12-11,,,,,,,2025-04-04,,,07/01/2025,,,,,"Victoria Daniels, Dept of Health and Human Services, Lucas State Office Bldg, 321 East 12th St, Des Moines, IA 50319, 515.829.6021, compliancerules@hhs.iowa.gov","IAC 641-76.1, .2, .3","04/04/2025 - Adopted Rule Notice - Vol. XLVII, No. 22, Iowa Administrative Bulletin 04/30/2025 pp.11071-11074; 04/04/2025 - Adopted and Filed - Vol. XLVII, No. 22, Iowa Administrative Bulletin 04/30/2025",0,Master,No,,,,,,Misc,,no,yes
REGULATION,IA,,12393,,2024,,,,ARC 9172,Personal Responsibility Education Program,,,Sets forth guidelines and limitations for the use of funds from the Personal Responsibility Education Program and the Title V State Sexual Risk Avoidance Education Grant Program.,http://custom.statenet.com/public/resources.cgi?id=ID:reg:IA202412393&cuiq=4aa65820-f27e-5f2a-8693-0b980d13c610&client_md=1d5569b6-2229-5514-a54d-7f5dde5c9a90,,Department of Public Health,,,,2024-12-11,,,,,,,2025-04-04,,,07/01/2025,,,,,"Victoria Daniels, Dept of Health and Human Services, Lucas State Office Bldg, 321 East 12th St, Des Moines, IA 50319, 515.829.6021, compliancerules@hhs.iowa.gov",IAC 641-Chapter 78,"04/04/2025 - Adopted Rule Notice - Vol. XLVII, No. 22, Iowa Administrative Bulletin 04/30/2025 pp.11074-11075; 04/04/2025 - Adopted and Filed - Vol. XLVII, No. 22, Iowa Administrative Bulletin 04/30/2025",0,Master,No,,,,,SexEducation,,,no,yes
REGULATION,IA,,12395,,2024,,,,ARC 9174,Decision-Making Assistance Program,,,Provides the procedures and documentation necessary for the notification of a parent or grandparent of a pregnant minor prior to the termination of the pregnancy through abortion.,http://custom.statenet.com/public/resources.cgi?id=ID:reg:IA202412395&cuiq=4aa65820-f27e-5f2a-8693-0b980d13c610&client_md=1d5569b6-2229-5514-a54d-7f5dde5c9a90,,Department of Public Health,,,,2024-12-11,,,,,,,2025-04-04,,,07/01/2025,,,,,"Victoria Daniels, Dept of Health and Human Services, Lucas State Office Bldg, 321 East 12th St, Des Moines, IA 50319, 515.829.6021, compliancerules@hhs.iowa.gov","IAC 641-89.1, .2, .3","04/04/2025 - Adopted Rule Notice - Vol. XLVII, No. 22, Iowa Administrative Bulletin 04/30/2025 pp.11077-11079; 04/04/2025 - Adopted and Filed - Vol. XLVII, No. 22, Iowa Administrative Bulletin 04/30/2025",0,Master,No,Misc,,,,,,,no,yes
REGULATION,IA,,12404,,2024,,,,ARC 9178,Regionalized System of Perinatal Health Care,,,Allows health care providers to rapidly access specialty services for at-risk pregnant women and newborns.,http://custom.statenet.com/public/resources.cgi?id=ID:reg:IA202412404&cuiq=4aa65820-f27e-5f2a-8693-0b980d13c610&client_md=1d5569b6-2229-5514-a54d-7f5dde5c9a90,,Department of Public Health,,,,2024-12-11,,,,,,,2025-04-04,,,07/01/2025,,,,,"Victoria Daniels, Dept of Health and Human Services, Lucas State Office Bldg, 321 East 12th St, Des Moines, IA 50319, 515.829.6021, compliancerules@hhs.iowa.gov",IAC 641-150.1 thru .11,"04/04/2025 - Adopted Rule Notice - Vol. XLVII, No. 22, Iowa Administrative Bulletin 04/30/2025 pp.11083-11098; 04/04/2025 - Adopted and Filed - Vol. XLVII, No. 22, Iowa Administrative Bulletin 04/30/2025",0,Master,No,U/SFetalHeartbeat,,,,,,,no,yes
REGULATION,IA,,12441,,2024,,,,ARC 9281,PROMISE JOBS Program,,,Provides rules to implement the PROMISE JOBS Program as required by federal law for Iowa to receive Temporary Assistance for Needy Families (TANF) dollars.,http://custom.statenet.com/public/resources.cgi?id=ID:reg:IA202412441&cuiq=4aa65820-f27e-5f2a-8693-0b980d13c610&client_md=1d5569b6-2229-5514-a54d-7f5dde5c9a90,,Department of Human Services,,,,2024-12-25,,,,,,,2025-04-25,,,07/01/2025,,,,,"Victoria L. Daniels, Dept of Health and Human Services, Lucas State Office Bldg, 321 East 12th St, Des Moines, IA 50319, 515.829.6021, victoria.daniels@hhs.iowa.gov",IAC 441-93.1 thru .17,"04/25/2025 - Adopted Rule Notice - Vol. XLVII, No. 23, Iowa Administrative Bulletin 05/14/2025 pp.11668-11702; 04/25/2025 - Adopted and Filed - Vol. XLVII, No. 23, Iowa Administrative Bulletin 05/14/2025",0,Master,No,,,Misc,,,,,yes,yes
REGULATION,IA,,12464,,2024,,,,ARC 9115,Standards of Practice and Principles of Medical Ethics,,,"Provides definitions relevant to the practice of medicine and guidelines on office practices, including the requirements for recordkeeping, physician behavior, and patient-physician relationships.",http://custom.statenet.com/public/resources.cgi?id=ID:reg:IA202412464&cuiq=4aa65820-f27e-5f2a-8693-0b980d13c610&client_md=1d5569b6-2229-5514-a54d-7f5dde5c9a90,,Department of Public Health/Medicine Board,,,,2024-12-25,,,,,,,2025-03-27,,,05/21/2025,,,,,"Emily DeRonde, Dept of Inspections, Appeals, and Licensing, 6200 Park Ave, Des Moines, IA 50321, emily.deronde@dia.iowa.gov",IAC 653-13.1  thru .17,"03/27/2025 - Adopted Rule Notice - Vol. XLVII, No. 21, Iowa Administrative Bulletin 04/16/2025 pp.10658-10680; 03/27/2025 - Adopted and Filed - Vol. XLVII, No. 21, Iowa Administrative Bulletin 04/16/2025",0,Master,No,MedicationAbortion,,,,,,,yes,yes
REGULATION,IA,,12472,,2024,,,,ARC 8970,Maternal Deaths,,,"Allows for the procurement and timely confidential review of maternal death and birth records, which inform death prevention recommendations and efforts.",http://custom.statenet.com/public/resources.cgi?id=ID:reg:IA202412472&cuiq=4aa65820-f27e-5f2a-8693-0b980d13c610&client_md=1d5569b6-2229-5514-a54d-7f5dde5c9a90,,Department of Public Health,,,,2024-12-25,,,,,,,2025-01-31,,,04/01/2025,,,,,"Joe Campos, Dept of Health and Human Services, 321 East 12th St, Des Moines, IA 50309, compliancerules@hhs.iowa.gov",IAC 641-Chapter 5,"01/31/2025 - Adopted Rule Notice - Vol. XLVII, No. 17, Iowa Administrative Bulletin 02/19/2025 pp.9268-9269; 01/31/2025 - Adopted and Filed - Vol. XLVII, No. 17, Iowa Administrative Bulletin 02/19/2025",0,Master,No,,,,,,MaternalMortality,,yes,yes
REGULATION,IA,,12560,,2025,,,,,Family Planning Program,,,"Outlines the details of eligibility criteria, funding, provider criteria, and covered services for the Family Planning Program.",http://custom.statenet.com/public/resources.cgi?id=ID:reg:IA202512560&cuiq=4aa65820-f27e-5f2a-8693-0b980d13c610&client_md=1d5569b6-2229-5514-a54d-7f5dde5c9a90,,Department of Human Services,,,,2025-01-08,,,,,,,,,,,,,,,"Victoria L. Daniels, Dept of Health and Human Services, Lucas State Office Bldg, 321 East 12th St, Des Moines, IA 50319, 515.829.6021, compliancerules@hhs.iowa.gov",IAC 441-87.1 thru .11,"01/08/2025 - Proposed Rule - Comment Deadline: 01/29/2025 - Vol. XLVII, No. 14, Iowa Administrative Bulletin 01/08/2025 pp.7529-7540",0,Master,No,,,Funding; FundRestriction,,,,,yes,yes
REGULATION,IL,,20122,,2024,,,,48 IR 4316,Sexual Assault Survivors Emergency Treatment Code,,,Updates existing requirements for transfer hospitals and add five new subsections that provide for treatment requirements for sexual assault survivors who opt not to be transferred to a treatment hospital for medical forensic services.,http://custom.statenet.com/public/resources.cgi?id=ID:reg:IL202420122&cuiq=4aa65820-f27e-5f2a-8693-0b980d13c610&client_md=1d5569b6-2229-5514-a54d-7f5dde5c9a90,,Department of Public Health,,,,2024-03-22,,,,,,,2024-10-11,,,09/25/2024,,,,,"Tracey Trigillo, Rules Coordinator, Department of Public Health, Lincoln Plaza, 524 S 2nd St, 6th Fl, Springfield, IL 62701, 217-782-1159, dph.rules@illinois.gov","77 IAC 545.25, .65","02/21/2025 - Notice of Expedited Correction - Vol. 49, Issue 8, Illinois Register 02/21/2025 pp.2224-2235",0,Master,No,,,Misc,,,,,no,yes
REGULATION,IL,,20319,,2024,,,,48 IR 13555,Control of Sexually Transmissible Infections Code,,,"This rulemaking addresses updated clinical guidance on invasive procedure precautions for health care professionals who are living with HIV whose work may result in secondary exposures to others, as well as update clinical recommendations for Expedited Partner Therapy (EPT), and update terminology for individuals living with HIV.",http://custom.statenet.com/public/resources.cgi?id=ID:reg:IL202420319&cuiq=4aa65820-f27e-5f2a-8693-0b980d13c610&client_md=1d5569b6-2229-5514-a54d-7f5dde5c9a90,,Department of Public Health,,,,2024-09-13,,,,,,,2025-04-11,,,03/25/2025,,,,,"Tracey Trigillo, Rules Coordinator, Department of Public Health, Lincoln Plaza, 524 S 2nd St, 6th Fl, Springfield, IL 62701, 217-782-1159, dph.rules@illinois.gov","77 IAC 693.10, .15, .30, .40, .45, .50, .60, .100, .150","04/11/2025 - Rule Adoption - Vol. 49, Issue 15, Illinois Register 04/11/2025 pp.4721-4751",0,Master,No,,,,,,HIVTesting; Misc,,no,yes
REGULATION,IL,,20572,,2025,,,,49 IR 2901,Hospital Licensing Requirements,,,This rulemaking ensures that women who present at a hospital emergency department in need of life-saving reproductive health care are furnished with that care in accordance with the procedures required by the federal Emergency Medical Treatment and Active Labor Act.,http://custom.statenet.com/public/resources.cgi?id=ID:reg:IL202520572&cuiq=4aa65820-f27e-5f2a-8693-0b980d13c610&client_md=1d5569b6-2229-5514-a54d-7f5dde5c9a90,,Department of Public Health,,,,2025-03-14,,,,,,,2025-06-06,,,05/21/2025,,,,,"Tracey Trigillo, Rules Coordinator, Department of Public Health, Lincoln Plaza, 524 South 2nd St, 6th Floor, Springfield, IL 62701, 217-782-1159, dph.rules@illinois.gov",77 IAC 250.710,"06/06/2025 - Rule Adoption - Vol. 49, Issue 23, Illinois Register 06/06/2025 pp.7975-7993",0,Master,No,Misc,,,,,,,yes,yes
REGULATION,KY,,25244,,2023,,,,,Pre-Execution Medical Actions,,,Establishes medical actions to be performed after receipt of the execution order and prior to the execution.,http://custom.statenet.com/public/resources.cgi?id=ID:reg:KY202325244&cuiq=4aa65820-f27e-5f2a-8693-0b980d13c610&client_md=1d5569b6-2229-5514-a54d-7f5dde5c9a90,,Justice and Public Safety Cabinet/Department of Corrections,,,,2023-05-12,,,,,,,2024-04-01,,,03/05/2024,,,,,"Nathan Goens, Attorney, Justice and Public Safety Cabinet, 125 Holmes St, Frankfort, KY 40601, 502-564-8216, fax 502-564-6686, Justice.RegsContact@ky.gov",501 KAR 16:310,04/04/2024 - Rule Adoption - Legislative Research Commission 04/04/2024,0,Master,No,,,,,,Incarceration,,yes,no
REGULATION,KY,,25817,,2024,,,,,Reportable Disease Surveillance,,,"Establishes notification standards and specifies the diseases requiring immediate, urgent, priority, routine, or general notification, in order to facilitate rapid public health action to control diseases and to permit an accurate assessment of the health status of the commonwealth.",http://custom.statenet.com/public/resources.cgi?id=ID:reg:KY202425817&cuiq=4aa65820-f27e-5f2a-8693-0b980d13c610&client_md=1d5569b6-2229-5514-a54d-7f5dde5c9a90,,Cabinet for Health and Family Services/Department for Public Health/Division of Epidemiology and Health Planning,,,,2024-09-09,,,,,,,2025-03-01,,,02/05/2025,,,,,"Krista Quarles, Policy Analyst, Office of Legislative and Regulatory Affairs, 275 E Main St 5 W-A, Frankfort, KY 40621, 502-564-6746, fax 502-564-7091, CHFSregs@ky.gov",902 KAR 2:020,03/04/2025 - Rule Adoption - Legislative Research Commission 03/04/2025,0,Master,No,,,,,,Misc,,no,yes
REGULATION,KY,,25861,,2024,,,,,Lifeline for Moms program implementation,,,Establishes the implementation procedures for the Kentucky Lifeline for Moms program.,http://custom.statenet.com/public/resources.cgi?id=ID:reg:KY202425861&cuiq=4aa65820-f27e-5f2a-8693-0b980d13c610&client_md=1d5569b6-2229-5514-a54d-7f5dde5c9a90,,Cabinet for Health and Family Services/Department for Public Health/Division of Maternal and Child Health,,,,2024-10-09,,,,,,,2025-07-01,,,06/03/2025,,,,,"Krista Quarles, Policy Analyst, Office of Legislative and Regulatory Affairs, 275 E Main St 5 W-A, Frankfort, KY 40621, 502-564-6746, fax 502-564-7091, CHFSregs@ky.gov",902 KAR 4:105,07/07/2025 - Rule Adoption - Legislative Research Commission 07/07/2025,0,Master,No,,,,,,MMHealth,,no,yes
